Giocatore,Squadra,Ruolo,Q,PG,G,A,AM,ES,RT,RR,RS,RP,MV,MM,MP
Vidal A.,Inter,C,20,20,1,-,3,-,-,-,-,-,6.05,6.17,2.4
Vieira R.,Verona,C,7,4,-,-,1,-,-,-,-,-,6.12,6,-0.5
Vignali L.,Spezia,D,4,21,-,-,4,1,-,-,-,-,5.54,5.4,-2.9
Vignato E.,Bologna,T (A),14,25,1,4,4,-,-,-,-,-,6,6.2,5
Villar G.,Roma,C,8,28,-,1,7,-,-,-,-,-,5.94,5.85,-2.5
Viola N.,Benevento,C,19,17,5,1,1,-,4,4,-,-,6,7.2,20.4
Vlahovic D.,Fiorentina,A,37,36,21,2,1,-,6,6,-,-,6.13,7.93,64.8
Vojvoda M.,Torino,D,11,19,2,2,4,-,-,-,-,-,5.76,6.23,9
Vulic M.,Crotone,C,10,23,1,-,2,-,-,-,-,-,5.82,5.95,3
Walace -.,Udinese,C,8,29,-,-,4,-,-,-,-,-,5.77,5.7,-2
Walukiewicz S.,Cagliari,D,7,19,-,1,1,-,-,-,-,-,5.76,5.78,0.4
Yoshida M.,Sampdoria,D,13,29,1,2,4,-,-,-,-,-,5.96,6.12,4.7
Young A.,Inter,D,19,22,1,4,4,-,-,-,-,-,6.11,6.4,6.4
Zaccagni M.,Verona,T (C),19,35,5,5,6,-,1,1,-,-,6.25,6.88,22
Zagaritis V.,Parma,D,5,2,-,-,-,-,-,-,-,-,5.75,5.75,-
Zajc M.,Genoa,T (C),13,31,1,3,4,-,-,-,-,-,5.83,6,5.3
Zanellato N.,Crotone,C,7,22,1,1,1,-,-,-,-,-,5.52,5.72,4.4
Zaniolo N.,Roma,T (C),25,-,-,-,-,-,-,-,-,-,-,-,-
Zapata C.,Genoa,D,7,12,-,-,2,-,-,-,-,-,5.83,5.75,-1
Zapata D.,Atalanta,A,37,37,15,7,-,-,1,1,-,-,6.21,7.62,52.1
Zappa G.,Cagliari,D,9,31,-,4,3,-,-,-,-,-,5.75,5.83,2.4
Zappacosta D.,Genoa,D,22,24,3,2,2,-,-,-,-,-,6.43,7.04,14.7
Zaza S.,Torino,A,11,27,6,-,4,-,-,-,-,-,5.46,6.05,16
Zeegelaar M.,Udinese,D,7,24,1,-,6,-,-,-,-,-,5.62,5.68,1.4
Zielinski P.,Napoli,C,28,34,8,8,2,-,-,-,-,-,6.22,7.36,38.7
Zima L.,Genoa,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Zirkzee J.,Parma,A,15,3,-,-,-,-,-,-,-,-,5.5,5.5,-
Zoet J.,Spezia,P,10,7,-,-,1,-,-,-,-,-,6.14,4.35,-12.5
